            N=1            N=2           N=10          N=100
        5.96254      -0.124208       0.325542       0.247334
        4.09365      -0.223945        7.36305        2.14439
       -1.32575      -0.971288        2.12917       -1.88968
        7.16847      -0.498489       0.867668       -18.5368
        12.7576      -0.255798       0.232128        1.28256
        3.77694        0.23326       0.154708        25.7141
        9.67645      -0.891206       -4.18042        1.24784
      0.0957982         0.6378       -163.677     -0.0989774
       -2.97953      0.0608808       -5.10108       0.899171
       -0.22226        2.51431      -0.704967        3.82758
        1.46553      -0.816328       -2.50849       -4.33939
      -0.918145     -0.0436338       0.040089       -1.97609
       -2.98516      -0.751865       -56.7975        0.79405
       -19.4653      -0.197078      0.0546155       0.834662
       -5.53291        2.45374       0.106527     -0.0958202
        16.2914         3.0133       0.494578        3.86227
        101.683      -0.129699       -1.60819       -1.03768
        2.31332        2.58052        1.31787        0.23163
       -1.75579        1.20075       -1.89514     -0.0572005
      -0.612192       -6.19548       0.798732       -5.79322
      -0.662365        17.6093        -2.4504       0.211338
      -0.146249      -0.657752       -1.29661      0.0941026
       -1.06116        3.26437       -1.19155      -0.641599
       0.121511       -0.11593        1.97932       0.311321
       0.296692        0.20116      -0.429237       0.436635
      -0.974149        1.22587        -2.6863      -0.147864
        1.23791       0.200027        6.77984        2.13587
       -8.05381      -0.712292        0.71496       0.167692
         -1.627       0.253508     0.00801002       -1.06006
      0.0355095      -0.508454        1.93788       0.388844
       -3.52296      -0.665282      -0.139939      -0.080457
        1.85155       0.180774        1.29754        -2.6883
       -1.24849        2.97834       0.216659       -11.5029
       0.607092      -0.287979         4.4798      0.0623916
      -0.339544       -4.40824      -0.223614       -1.52091
        1.32112      -0.145633       0.154742        8.37785
        1.51801       -4.94615       -0.90408        3.46204
      -0.500056       -14.1879      -0.449359       0.843865
       0.537496        3.40705      -0.760199      -0.752433
      -0.451517      0.0634954      0.0295386        1.92225
       0.568675      -0.845971       0.675141       -2.39146
       -2.01424      0.0467467        3.21292        4.19212
      -0.620964       -1.79498       -0.69922      -0.111332
       -1.12371       -2.04729        1.13055      -0.431993
        1.59276       0.297026        -1.6509       0.204779
      -0.487854       -15.2398      -0.806534       -3.88491
        1.89126      -0.534631       -3.64921        2.46288
       -1.41036        1.22799         2.1388        4.01068
        -5.8245       -0.20696       0.614545     -0.0856646
       -1.40242      -0.949015        1.81678      -0.177826
        6.70087        2.08279      -0.403808      -0.584311
       -6.07641       0.257034      0.0572608       0.126202
      -0.991227       -1.01827       0.421285      -0.834806
       0.402633       -1.37948        2.05659        0.54756
         -10.15       -5.19794        1.15845     -0.0619186
        1.08623       0.101738       -10.2252        1.11946
       0.308907        0.29481      -0.311842      -0.101858
     -0.0438781       -2.98281       0.111736       -4.25116
      -0.729363        5.86345       -2.58964       0.247205
       0.689567        1.01395       -2.35616       0.690814
       0.940046        2.86532       -2.76576        0.58082
       -3.51821        1.03473       -1.15286       0.171723
      0.0175554       0.732789      -0.520426        -1.9149
       -0.10741       -3.57044        0.43835       0.428584
        -1.1188        16.9493       0.503564        9.74826
       0.485256       -1.51693       -1.68157        1.01013
       0.401134       -9.25249         2.1698       -0.15772
       -1.09257       -1.00879     -0.0432668       -14.6614
      -0.437343        4.50329     -0.0605345         4.0025
        12.1178       -4.40014        -2.0599        1.37393
        1.61832       0.380063       -1.38304        1.25574
      -0.214391       -2.73089       -1.13891        1.86311
       -5.46676      -0.236237        8.99381       0.188696
       0.840372      -0.144274      0.0790465        1.07245
        1.90756       -3.36898       -3.56549       -2.02537
      -0.560303       -2.82648      -0.627611       -62.4723
        1.76406        2.48092     -0.0720681        2.07749
        -11.821         1.0461       0.538023       -10.7741
       0.546465        1.23727       -1.51343       0.899541
       0.992433       0.799254      -0.291609       0.649821
         1.2199     -0.0132595      -0.515177       0.246085
       -0.36361      -0.367249      -0.597673       -1.69862
       -1.89042       0.690088       0.658703        3.16006
       -0.61689       -1.61705        -11.445        1.97597
       0.941315       -10.2741        1.04365      -0.996259
       -1.29887        0.54573       -46.4804      -0.389696
        21.8351       0.734528      -0.429837        2.61238
       0.378536     -0.0775453       0.671015       -6.68112
       -1.79825      -0.635236        5.22233        1.85748
       -2.40072       -12.5387        1.28324       0.376644
     -0.0298123        1.93075       0.164741        4.24373
         7.2384      -0.416203      -0.401558      -0.109269
      -0.599888       -1.98116       0.290745        0.77144
       -4.60533      -0.144165       -2.31006       -1.55126
     -0.0302974       -2.71218      -0.161034           1.02
        4.16415      -0.408011      -0.231163        13.0822
      -0.874384      -0.429124       -3.31845        2.55046
      -0.816761        20.0401      -0.636271         1.3835
        17.4274        6.95437      -0.690952        4.68239
       0.241648       -0.69277       0.226623      -0.383214
        3.89693       -2.41758       -2.12247       -1.68188
       -3.03903     -0.0372347      -0.996597       -4.98777
       -224.087        21.4576        1.60676        1.02842
       0.793537          1.448        5.52942       0.561424
       0.981293       -1.10023        18.1756       0.258962
        1.84392       -0.95638        -3.3375        3.55189
      -0.704172       0.405695        2.43353       -1.13551
       0.187123        2.44265      -0.927904        3.08542
      -0.249852        1.05371        4.19954        2.97479
        2.73683       -4.17062        0.30284       0.743807
      -0.333799      -0.835324       0.562063          0.506
        1.96021      0.0248064       -1.11402       -2.73077
       0.957992       -6.29453       -2.19373       -4.32958
        -1.1923     -0.0710312      -0.266819       -2.78202
        2.14183        1.37557        -1.0988       -5.32605
       -2.32179       -2.18116       0.528991       -1.75588
        1.36728       -1.05126     -0.0703778        1.48008
       0.786253        0.47603      -0.349063       -1.68141
         24.472       -30.9876       0.597674      -0.569212
       -1.56706       0.257622        11.2054      -0.310781
       -1.20817       0.180205       -2.27261      -0.693358
      -0.655439      -0.936977       -1.26798      -0.533685
      -0.684699      -0.741594       -2.50692       0.188536
       0.436284       0.505421       -2.63911       0.221835
        -1.3188       -1.01827        1.87013       -1.20182
       0.870912       0.162832         1.4155      -0.145663
        0.51696        6.37373        1.33942       0.655367
       -2.45954      -0.871105      -0.106919       0.668062
      -0.336659      -0.299537        -7.1349       0.717397
      -0.660318        1.50973        1.59158       0.363842
      -0.123141      -0.594919      -0.147269        2.88842
      -0.388455      0.0278289      -0.201784       -2.15247
       0.269313        3.27876        5.55521         1.9533
       0.197207       0.783035       -1.32816       0.146311
       -1.51855       0.396503        44.0894         1.6837
      -0.263861       -37.9601       0.944514      0.0869293
        0.84669        2.40774       0.146185        8.77623
        0.42891        2.08014       -1.61564     -0.0015024
        1.91346       -4.08206      -0.300741      -0.176071
        -1.7917        0.50007      -0.515866      -0.296884
        5.24037       -0.51994       -16.8771        3.35379
      -0.211749        0.37657        5.97376       0.229312
       -1.39399        11.6631       0.221179        3.21669
      -0.238663        0.20934       -47.8384       -1.06454
       0.210717       -3.77762        2.09633        2.64368
      -0.297984       -2.00173       -1.85946        11.5631
      -0.549606      -0.451195        1.54558        1.00922
      -0.954125       0.476242       -1.34449        1.76029
      -0.686948       0.518903       0.354923       -1.59923
       0.292792        6.70876        1.00991        233.464
       0.827434      -0.138582       0.883621       -21.4653
        4.08004        1.26806        2.23185       -3.59047
        4.46753       0.218308        0.66994       0.236155
        1.55906       0.831617        4.28078       -1.09027
       -1.77453       -3.30048       -2.13035       0.523996
        1.51513      0.0478882       0.614087        6.57262
      -0.351397       0.270258        0.94073       -1.73697
        5.51244       -1.66726      -0.120453       0.229822
       -1.41213     -0.0386191       -0.44465       0.317614
        3.81363        1.38295       -3.85551        -1.1032
       -11.7788       0.528906        0.31821        1.53952
      -0.612158       0.436755       -1.66059       -1.57956
      -0.711147        0.71006        2.49678      -0.373724
        35.9297        2.10362       -1.65677      -0.486272
      -0.747205        1.23303      -0.391773       -73.9329
      -0.568299        5.17769        1.73874       0.138117
        6.72443     -0.0714891     -0.0735354        2.56205
       -0.19569        1.23872      -0.169742      -0.546489
       -1.03324       -1.14905       -343.701       0.850672
       0.801384        1.61252        5.20705       0.944988
        3.50336       0.706972      -0.317524     -0.0656459
       -3.10104        1.06773       -7.63587       -10.3522
      -0.309465       0.161943        -1.4285       -2.14052
         2.7612       -2.62002       -4.85961        1.76565
      -0.295991       -1.98648        2.39302        1.36002
       0.696046       -1.26349        1.57353      -0.646795
       -1.68939      0.0830519       -4.74991        1.03271
       0.264804       0.279702       0.278605      -0.632482
        0.37423      0.0229252          46.78     -0.0195849
       0.132786       -2.44837      -0.121343       -2.22281
      -0.060605        17.8726       -1.66508        1.35399
      -0.956303      0.0320381       -1.80146      -0.239823
      -0.724693        1.00837      -0.735673       -3.71316
      -0.605872         2.7713      -0.832892       0.856515
       0.789122       -4.51331        -2.7465       -3.08437
      -0.427574       -1.85682       -4.87811      -0.204333
        1.49143       -12.7703     -0.0437993       0.873507
        4.46525      -0.436266       -1.19094      -0.210527
      -0.596505       0.844736       0.501732       0.814781
      0.0205468       -0.78814      -0.547235      0.0203862
       -9.94781       0.551356        4.20654       0.370954
        1.13133       0.399009       0.598117       0.458949
       -3.68578      -0.610406       -4.00822      0.0668293
        3.39451      -0.858343        5.47128        1.75453
       -8.89825      -0.278841       0.439669       0.603126
       -0.99405       -3.72896        3.21604       -14.2987
       -28.8554        0.89154        1.92394       -5.14372
       0.479654     -0.0753581        14.5647      -0.888756
        2.07187     -0.0258061      -0.600443      -0.596682
        4.74223       -2.08456       0.762069       -1.76086
      -0.288159       -0.20572       0.378871      -0.826097
       0.415149       0.137692       0.543495       -2.71769
       -1.41642       0.466865      -0.271936        5.30671
      -0.275526        7.09055      -0.140519        4.86086
      0.0567671         0.4326      -0.236246       0.183627
      0.0367263        3.79363      -0.251105      -0.289756
       -4.00481     -0.0227889     -0.0931066      -0.822613
       0.414851       -0.24818      -0.224771      0.0128609
       -3.65639       -4.47626        1.84199       -1.42428
      -0.438198        2.45286       0.226558        0.32339
       -1.57492       -5.24736         1.3481        1.45889
        2.16897      -0.638142      -0.642654       0.629049
       -8.32046       0.652577        12.5283       -2.64686
       -22.1591        -8.9179      0.0101637         0.2814
       0.638205        1.74914       -2.21091       -0.78812
       -1.70747        1.32559        10.4024       0.243875
       0.403602       -1.58357       -95.6997         2.7853
        2.05237       -2.96074       -3.72231       0.224821
       0.521758        1.41523        5.03779       -0.15122
      -0.935679        2.51476        3.44626      -0.697971
      0.0719282       -4.60645        1.36268      -0.990108
       -1.96996        9.71652        1.63895      -0.344261
        3.08881       -1.78857      -0.128394        -7.8343
        1.07677       0.944694       -37.9668      -0.903044
       0.874569       0.509789        1.25518       -0.28135
        -0.3605       0.705246       -6.88439       0.610656
        -2.1226        -3.6903       -0.45545       -1.58162
      0.0860556        2.33732       -2.59655      -0.827741
       -2.69292      -0.649153        1.66082        2.96785
     -0.0660433       0.285945        -1.3341       -0.39196
       -3.38568        1.72144       -0.20479        2.05727
        -7.0102      0.0979351       -2.20752       -2.25743
       0.246391        497.487       -2.55076        33.3149
     -0.0429146         1.9731         2.1453       -3.32774
      0.0577291       0.735821        1.06727       -1.90611
       0.531892        1.17621       -3.26651        1.41716
       -1.76165      -0.220148     -0.0761459      -0.951563
       -4.20396      -0.381449       -2.83856       -1.53401
        12.5134       -1.89864       0.606643       -108.646
      -0.786504       -1.15566        0.78394        0.15889
        2.00783        3.42077      -0.258703        1.20218
      0.0200761       0.597738      -0.620671        36.9928
         2.5701      -0.320195        0.44485       -7.59758
        3.16053        2.02823        3.71176       -1.31066
       -2.99872       -0.71004      -0.278392       0.340048
        5.06818        3.08155       0.192666        21.5407
         1.6845     -0.0968269      -0.186966       -3.75667
      -0.218924       0.231733        0.30488       -1.25982
       -6.36933     -0.0995935      -0.804064        1.78167
      -0.771549      -0.652385       0.130043        -1.5729
      -0.276009       0.629428        2.19562         2.6746
        34.1746       -2.77343     0.00360608       -1.78048
       -2.04023        2.25434        1.76504      0.0672524
      -0.993625        -1.2889       0.471051       -9.67686
      0.0889784         1.4784        1.75711     -0.0625696
        -18.594        1.52036        1.65737       -4.54823
       0.628909      -0.604236       0.482844       -4.07496
        -2.6465       -5.20975       -1.06664       -0.44034
      -0.419024      -0.933673       0.245963      0.0261741
        9.42561        1.31179        0.62038       -0.10916
       -9.11717       -45.6059       -1.55571       0.227628
        0.31689        5.49492      0.0629741        1.50814
      -0.212436       0.734747       0.448004       0.653788
       0.972561       0.630438       -4.36353        1.52776
       0.334187      -0.547402       -1.71229        -1.9157
       -5.79596       -3.17139        -11.657      -0.682431
       0.272142      -0.705314        1.11601       -2.65211
      -0.744617         1.4723      0.0550074       -1.07149
      -0.461113      -0.311663      0.0366234        1.14719
       0.172566        2.31809        1.97407        -3.3658
       -2.41239        3.18272        1.51539       -2.22963
       -4.32556       0.839448      -0.767706       0.194353
      0.0543094        0.17479       0.751229        4.54728
       -5.70727       0.449127       -2.33784       -0.10592
        4.38622        3.19702       0.707261       -1.70589
       0.575626     -0.0818469       -0.27142        2.85031
        1.34708      -0.751509       -2.37536       -1.88612
       0.745118       -1.12604      -0.503764      -0.258492
       0.643011       -6.95079      -0.299516        1.70912
        1.83152        77.0651        1.39551        5.20815
        1.10043      -0.096104       -2.42378         152.81
       0.498076       -1.96038    -0.00350144        3.48927
       -1.06227       -0.61208        5.27946        -2.3073
        1.03575       -2.37629        1.88478        7.51743
       0.286914        2.77954       -1.77748        4.10394
       -1.02141       -3.63678     -0.0948724      0.0961033
        1.41865        3.71802        7.19783       -6.97903
     -0.0384769     -0.0295167       -1.25248        0.35921
       -2.57568       0.219464      -0.631072        1.01544
      -0.658423       0.457684        3.95851       -3.55072
       0.919532        3.61343        5.21248       0.783991
       -21.4678      -0.491672       -1.64382        4.12252
       -3.49261      -0.432541       0.959575       0.139381
        4.58407       -2.54155      -0.310064       0.827664
      -0.141289       -2.57828        3.47142        2.06659
        1.61035       -3.55539       -1.93138      -0.423115
        4.84693        14.2107       -1.84074       -1.56031
       -5.00202       0.842938       -2.38912       0.114752
       0.498857      0.0415743      -0.657074    -0.00749444
       -1.76933       0.424866        3.28172       0.793233
       0.645376       0.726245       -2.32904       0.225657
       -25.7227        68.0414      -0.306162      -0.245136
        2.46961        -1.7238      -0.231759       -1.60973
        1.39188       0.368416       0.243887       0.437352
       -1.40402       0.114928       -29.5896      -0.118414
       0.571611      -0.614151       0.749824      -0.552051
       -4.98324      -0.955511       0.377164      -0.389798
        1.02093       0.125609       0.525996      -0.320008
       0.179059      -0.261942       -0.54939       -6.24424
      -0.467389      -0.483575       -33.9955      -0.215476
        2.24121       0.974191       0.558471        2.32849
       -7.66556     -0.0560485       0.923885       -4.42479
       -0.74941      -0.137232        3.76933        0.12616
     -0.0666117        -24.879       -2.14368      -0.170441
       -1.58145      0.0574342       0.680633        3.13644
       0.723198      -0.676606        3.07465      -0.393825
        39.1913       0.263306      -0.567589        -2.4233
       0.888927        4.41633      -0.545307       0.932711
        16.1895       -0.39548       0.350623       -27.5422
       -2.28071       0.820486         -8.841       -1.75237
        -1.4964       -3.56578       0.382489       -7.23333
       0.110857      -0.223406     -0.0354384       -3.47281
       -3.44446       -2.75498        1.33888       0.473133
       -1.39071       0.104385       -2.53855       -8.53789
      0.0338244       -237.591      -0.777235         -1.055
      -0.108294      -0.729234       -7.59486      -0.338727
       -24.6694       -1.10171      -0.913441        5.29036
        67.5847      -0.980432        4.75572      -0.393897
      0.0947992       -7.38161      -0.697136       -3.58904
         2.8012       0.841496       -39.8174        2.43132
       -4.63046       -3.89172       0.652399       0.284039
           2.43       -227.709        26.2884        1.62552
       -2.49509      -0.293803        1.06161      -0.322918
       0.582328        0.27059       -1.63023        1.60689
     -0.0356369       -2.23073       0.528072       -20.8683
       0.847027      0.0221494       -11.8178        0.91987
        0.98212        1.59669     -0.0747485       -2.18561
        3.90318       0.586883        2.56993       0.549081
        2.46651     -0.0669867      -0.700411       0.246352
      -0.359102         1.2801       0.779585     -0.0987789
       -1.92697       0.688629      0.0961016        3.19559
       -6.41427        1.63892        2.52304      -0.470972
       -1.34985       0.273779       0.995805      -0.891879
      -0.320797       -3.44073       -1.25782      -0.216808
       0.452961     -0.0884932       -0.98963        6.57668
      -0.403349        6.29453       0.881537       0.750216
       -4.64763       -1.46659       0.264764      -0.714268
       -7.94143       -5.01813       0.800984      -0.167725
       0.811073        1.96816        1.44411      -0.556456
      -0.953135       0.399872       0.871036      -0.166118
        2.84437      0.0283036      -0.273812       -1.47011
     -0.0932391        7.94463      -0.782747       -2.05453
       -4.83667        1.03297      -0.442426       -1.60199
       0.474342        10.1562       0.275296       -2.10461
      -0.255582       0.677913       0.646883       0.307485
       -1.84695     -0.0633493       0.251337       0.395511
       0.787259       -3.15752        3.57126        0.23896
       0.164802       -11.8164         2.4294       -3.12793
         -60.12       -1.85682         5.5878       -2.36137
       -1.85516        0.23695      0.0217725       0.275595
       0.349592      -0.142884        1.54755       -1.53683
       0.165653       0.849458          3.558       -2.66266
        1.16392       -0.99534       0.666686       0.418136
      -0.803507       0.345011        28.9971       -1.66677
      -0.188586      -0.477098         -3.173       0.716318
       -1.68537      0.0764845        1.01173        2.51061
       -1.10731        1.25549       0.435264      -0.341717
      -0.375875       -22.9203        5.67991      -0.645216
      0.0161906       0.408519      -0.391116      -0.202397
       0.994651       -9.94198        1.18144      -0.559544
      -0.835895     -0.0140433        3.60615        5.39121
       -1.20064        9.77572        4.87615      -0.635362
       -0.24111       0.913832       -6.16249       -2.85312
       0.566774        -24.767       -3.68904        1.01767
        12.8953       -0.86217      -0.539584      -0.153449
      -0.147826      -0.383859      -0.234173       0.562427
      -0.728936      -0.143782         4.5217       -15.0119
       -1.01327       0.626883        1.03446     -0.0976848
        1.48261       -15.2744       -3.07582      -0.840174
       -2.08168       -1.02783         8.6339       -9.52494
        1.33524      -0.350511        12.4823       0.591109
        1.68421     -0.0954922       -0.34341        2.10237
       -1.29041       -120.545       -4.31518       -2.84263
       0.100572        1.81293       0.808128       -1.52779
       0.424145      0.0588794        1.12828        -2.1621
      -0.368488       0.604056     -0.0244912          1.332
        1.02897       0.550969      -0.258035      -0.426383
        5.52854      0.0740268       -2.85912        0.49432
       0.968648      -0.313075       -5.17076        7.49811
       0.597422       -1.04204       0.103625      -0.360875
      -0.292926       0.181509       0.224358      -0.656778
        1.08593      0.0983009       0.137928       0.896517
       -1.04856       -7.36184        1.16366      -0.266582
       -74.8716       0.275923       -1.10488       0.259435
       0.392063       0.275517       0.328463        2.10644
        4.42341      -0.356631        1.55853       0.507731
        8.90898       -2.95863        -3.2183       -3.37653
       -4.74871        1.21852       -2.26483       -0.22515
       -7.81029      -0.754505       0.190343       0.299742
       -0.35383       0.463736       -13.1867        9.93362
       -2.44937       -1.40423       -8.43033       0.396853
        3.44951       0.593343        2.18155       0.711083
        -3.0752      -0.770245       -4.01863       -3.64469
        2.03532      -0.979547        -16.533       -1.76634
       0.865816       -1.33847       0.666119      0.0421596
      -0.112675        1.05131        3.01523       0.703481
        13.8739        2.72677        1.66961      -0.458316
        9.45242      -0.226643     -0.0365378        1.76531
       0.751647     -0.0549176      -0.367813      -0.651117
      -0.332966       -2.08464        5.73446       0.610768
       -4.50285       -1.17955       -2.81811      -0.913182
       -3.05239       0.737514       -4.36632        1.85428
      -0.588931       0.139131      -0.922705        2.65963
       -3.41452       0.572196       0.758183      -0.437046
       0.749937        11.0546      -0.593149      -0.568613
       -1.65233          3.597      -0.936168     -0.0754475
       0.747272        133.878      -0.106745      -0.559224
       0.205212        1.25999      -0.068811        1.50657
       0.834207      -0.992941        -1.8701        1.82637
       0.203598      -0.184518        2.39076      -0.297145
        12.9477       -4.34628        1.40705        1.64587
       0.469819      -0.656622       -2.21247       -30.7148
       0.279296       0.815188      -0.892441        1.18812
      -0.556459       -7.27549       -2.83959        0.50108
        1.35072      -0.416504       -1.27222       0.581649
        1.18541       -1.05895      -0.552464       -1.33567
        0.45089        48.9836      -0.524368        2.07658
     -0.0142735         16.639      -0.555967       0.311149
        1.79473         5.3394       -2.04617       0.300087
      -0.131496     0.00509338       -1.25895        0.43804
        0.49265       0.260007        2.88839       0.610317
       -7.09361       -0.53718       0.823969       -10.8605
     -0.0402219      -0.227092       0.344123        1.04579
       0.135998      -0.975903     0.00482482        0.56112
        2.22469        1.38892       -2.57362      -0.575454
       -1.68418      -0.167341       -2.00052        -16.368
       -3.75331       0.271526      -0.424224      -0.215546
       0.418798       -1.35787       -1.59192        8.32507
      -0.589831        5.53901        1.94981        -1.7739
       0.512592       0.771259        1.13232       -3.31776
        2.90339       0.716076       -3.64498       -1.70026
      -0.137496        -6.0873       0.483111     -0.0737022
      -0.573995      0.0379513       -1.48789        2.97257
        1.63181         1.4208       0.513774        9.47657
        2.16553      -0.127226      0.0373799        1.90724
       -1.29202        11.6026        -1.1235       0.166624
       0.145308      -0.122114       -1.24309       -14.2874
        1.27481        1.08133      -0.103866        2.12678
        3.44151       -1.38015         1.1926       0.574404
       0.765723         1.5995       0.705144      -0.741185
        1.08049       0.051677        1.59459        1.17896
        1.38557      -0.474205       0.277374      -0.463965
        11.2951      -0.435624       0.450845       -9.26739
      -0.939766       0.127432     -0.0271284       0.553847
        2.21771        2.32955        0.47352      -0.135066
       -2.36069       -5.45203       -4.27042        0.70858
       -1.57078      0.0843094       0.799513       0.330479
        4.04822       0.425067        -1.4536      -0.797948
       -1.48777      0.0646938        5.58063      -0.780732
      -0.810326       -13.2481       -4.16792     -0.0295554
       0.995066       -3.36196      -0.318667       0.416804
        2.22998      -0.348301      -0.804343         -0.583
      -0.849005       0.602762       0.044026       0.600881
        2.26295    -0.00507267      0.0394104       -3.80985
       0.823606       -1.63362        13.3119        3.40449
        1.31186      -0.148243       -1.02003       -2.94951
       0.710955       -1.16765        4.92436        5.98718
      -0.387069      -0.543381        1.26015       -1.37191
       -6.20184         -1.363        2.37828      0.0631934
       0.961809        1.94011      -0.548836       0.679878
       -3.95848        2.39206        2.39353       0.505547
     -0.0144839        22.8385      0.0472653        2.50226
       0.293076      -0.355264       -1.32117       -1.98903
       -2.82006        3.06561       -4.01714      -0.829696
      -0.301699       -1.59959      -0.351899       0.297971
       0.467803      -0.459191       0.139909        1.18973
       0.690342      -0.458541        1.38303       0.740064
      -0.130939         1.0842      -0.524465      -0.917519
       0.380133       0.311884        2.21298     0.00799366
